_id,nome_campus,cod_uffs,cod_emec,nome_curso,turno,modalidade,regime,desc_matriz,ano,semestre,permite_ingresso,em_andamento,ch_obrigatoria,ch_optativa,ch_eletiva,ch_accs,ch_total,ch_max_sem,ch_min_sem,ch_1a_fase,quant_semestres,limite_semestres,linha_formacao,data_atualizacao
50cd399b-b3b1-4b88-b722-b00e877a263b,Cerro Largo,4110,5000393,"CIÊNCIAS: BIOLOGIA, FÍSICA E QUÍMICA",NOTURNO,Graduação - Licenciatura,Semestral,"30-CIÊNCIAS: BIOLOGIA, FÍSICA E QUÍMICA - CERRO LARGO - 2010/1",2010,1,Não,Não,4380,180,0,210,4770,450,60,300,9,18,,2021-08-19
22572d29-4800-4ec4-b45e-1d8b7d2e583e,Laranjeiras do Sul,2713,1503885,CIÊNCIAS SOCIAIS,NOTURNO,Graduação - Licenciatura,Semestral,101-CIÊNCIAS SOCIAIS - LIC - LARANJEIRAS DO SUL - 2020,2020,1,Sim,Sim,2775,240,0,210,3225,420,0,0,9,18,,2021-08-19
27dcc2d7-aaed-4695-981d-2f8a57071d68,Erechim,5203,1504207,CIÊNCIAS BIOLÓGICAS,INTEGRAL,Graduação - Bacharelado,Semestral,113-CIÊNCIAS BIOLÓGICAS - ERECHIM - 2021,2021,1,Sim,Sim,3120,255,0,150,3525,600,0,0,8,16,,2021-08-19
a81338c3-5379-4d97-83dc-3b2919b9af3a,Cerro Largo,4520,5000386,DESENVOLVIMENTO RURAL E GESTÃO AGROINDUSTRIAL,INTEGRAL,Graduação - Bacharelado,Semestral,33-DESENVOLVIMENTO RURAL E GESTÃO AGROINDUSTRIAL - CERRO LARGO - 2010/1,2010,1,Não,Não,3060,0,0,120,3180,540,240,420,8,16,,2021-08-19
215c0f3a-3cd7-4850-9028-d260c982ce3e,Chapecó,1710,5000398,GEOGRAFIA,MATUTINO,Graduação - Licenciatura,Semestral,65-GEOGRAFIA - CHAPECÓ - 2014/1,2014,1,Não,Sim,2850,60,60,210,3180,540,0,375,8,16,,2021-08-19
443e873a-0e22-4ac7-b1c1-2223cab2a0c6,Chapecó,1710,5000398,GEOGRAFIA,MATUTINO,Graduação - Licenciatura,Semestral,10-GEOGRAFIA - CHAPECÓ - 2010/1,2010,1,Não,Sim,2895,120,0,210,3225,450,0,360,8,16,,2021-08-19
24ce9a95-bc17-4d56-9ddd-1228ac1aca8d,Laranjeiras do Sul,2521,5000387,DESENVOLVIMENTO RURAL E GESTÃO AGROINDUSTRIAL,INTEGRAL,Graduação - Bacharelado,Semestral,23-DESENVOLVIMENTO RURAL E GESTÃO AGROINDUSTRIAL - LARANJEIRAS DO SUL - 2010/1,2010,1,Não,Não,3060,0,0,120,3180,420,120,300,9,18,,2021-08-19
45960e6f-4852-432e-b485-d1dc67b40abc,Realeza,3111,5000394,CIÊNCIAS NATURAIS,NOTURNO,Graduação - Licenciatura,Semestral,26-CIÊNCIAS NATURAIS - REALEZA - 2010/1,2010,1,Não,Sim,3015,120,0,210,3345,450,180,315,8,16,,2021-08-19
90386659-4028-4800-884e-73f2676ff3a2,Realeza,3602,1572603,ADMINISTRAÇÃO PÚBLICA,NOTURNO,Graduação - Bacharelado,Semestral,114-ADMINISTRAÇÃO PÚBLICA - REALEZA - 2021,2021,1,Sim,Sim,2715,120,0,210,3045,420,0,0,9,18,,2021-08-19
3b52b0da-2f8a-490b-a451-dc93d712ee8e,Cerro Largo,4601,5000386,ADMINISTRAÇÃO,MATUTINO,Graduação - Bacharelado,Semestral,104-ADMINISTRAÇÃO - CERRO LARGO - 2020,2020,1,Sim,Sim,2955,180,0,180,3315,600,0,0,8,16,Desenvolvimento Socioeconômico,2021-08-19
