_id,coluna,tipo,rotulo,descricao
6ad0dcb1-3d77-4e6c-ab96-bbe15f09a535,nome_campus,text,Campus de oferta do curso.,
c8bdaa81-2b92-449c-b433-a76aadd1817c,cod_uffs,text,Código do curso na UFFS.,
6e1fcbed-4c36-488a-ba76-bf384b873ae9,cod_emec,text,Código do curso da UFFS no MEC.,
cffd0080-52c7-484f-8834-ded498c909ce,nome_curso,text,Nome do curso.,
ffed90ce-75af-4987-a023-ca4342c34a92,turno,text,Turno de oferta do curso.,
23c53362-812c-43dd-bc0d-b5558bd80147,modalidade,text,Modalidade de oferta do curso.,
65c56061-5e47-453f-b9aa-54b589c04a03,regime,text,Regime de oferta do curso.,
a10877b1-4499-49d0-8cf1-19635473d9fe,desc_matriz,text,Descrição da matriz curricular do curso de graduação.,
5dc3e38a-d667-4ed0-91f8-dfe49728a5a4,ano,int2,Ano inicial da oferta da matriz curricular.,
9ce72540-e776-4b01-baa9-1e3420b78eb7,semestre,int2,Semestre inicial da oferta da matriz curricular.,
254d7b15-b558-41db-92be-2cbcb3ccd3e8,permite_ingresso,text,Permite ingresso de estudantes na matriz curricular.,
bf941dbb-e221-4838-916f-8ab6d535ae55,em_andamento,text,A matriz curricular está em andamento no curso.,
19cc2da5-c689-425d-b952-27addb60c4d5,ch_obrigatoria,int4,Total da carga horária obrigatória em CCRs da matriz curricular.,
6c38aaac-a782-41c6-ae9f-4b6480cd3e9e,ch_optativa,int4,Total da carga horária optativa em CCRs da matriz curricular.,
15f2ebe1-f8b0-424d-8077-8dd3b1c6ccb5,ch_eletiva,int4,Total da carga horária eletiva em CCRs da matriz curricular.,
217549a8-cf49-43bc-9c26-82d1147c52c1,ch_accs,int4,Total da carga horária em atividade curricular complementar da matriz curricular.,
de96315b-5255-4ba0-a7dc-61065ef07c68,ch_total,int2,Carga horária total exigida pela matriz curricular.,
d15203fc-bca1-44c5-ac75-abe86d241215,ch_max_sem,int4,Carga horária máxima por semestre letivo.,
c3256aca-3ba0-47fc-b2ae-5823c9ab3f45,ch_min_sem,int4,Carga horária mínima por semestre letivo.,
f74bd619-a03c-4ba1-8edb-37f046330c70,ch_1a_fase,int4,Carga horária total da 1ª fase da matriz curricular.,
71fd6836-79a4-4d0b-b853-ba0a6cbf8135,quant_semestres,int2,Quantidade de semestres da matriz curricular.,
e4606748-c851-4190-b133-48cea0b270da,limite_semestres,int4,"Limite máximo, em semestres, para concluir a matriz curricular pelo estudante.",
f0b30c97-22f8-48a3-9d88-a293ece94b01,data_atualizacao,date,Data de atualização do conjunto de dados.,Formato YYYY-MM-DD (ano-mês-dia).
