_id,nome_campus,ano,semestre,cod_uffs,cod_emec,nome_curso,cod_ccr,nome_ccr,id_turma,desc_turma,lista_docentes_ch,matricula_turma_id,numero_faltas,freq_turma,media_final,sit_turma,data_atualizacao
d7d72ce7-9218-4dd0-92e0-93b04e560868,Chapecó,2020,2,1411,1193759,MEDICINA,GSA296,Estágio curricular obrigatório I,28832,Medicina - 9ª fase (Presencial e remoto) - 2020/2,"[{""docente"":""ADRIANA WAGNER"",""ch_docente"":270},{""docente"":""ALAND WALDOW"",""ch_docente"":30},{""docente"":""ANA BEATRIZ SENGIK  SAEZ"",""ch_docente"":45},{""docente"":""ANA LUCIA LAGO "",""ch_docente"":195},{""docente"":""ANA LUIZA BABO SEDLACEK CARVALHO"",""ch_docente"":30},{""docente"":""CARLOS ALBERTO DO AMARAL MEDEIROS"",""ch_docente"":270},{""docente"":""FELIPE CAMARGO RIBEIRO"",""ch_docente"":60},{""docente"":""FELIPE JOSÉ NASCIMENTO BARRETO"",""ch_docente"":15},{""docente"":""GRASIELA MARCON"",""ch_docente"":60},{""docente"":""JAIME DIAS RODRIGUES JUNIOR"",""ch_docente"":120},{""docente"":""JOÃO CARLOS MENTA FILHO"",""ch_docente"":30},{""docente"":""PAULA GOULART MENNA BARRETO RODRIGUES"",""ch_docente"":120},{""docente"":""RICARDO FARIAS"",""ch_docente"":360},{""docente"":""THAIS NASCIMENTO HELOU"",""ch_docente"":30},{""docente"":""SYLVIA FATMA GOMES ROCHA"",""ch_docente"":60}]",116d0a9b-ab0b-4b82-93ed-a5634715bbb5,,,,EM CURSO,2021-08-19
e0c5387f-7c6f-4dcf-906f-f8909ac4edf8,Cerro Largo,2021,1,4200,1152544,CIÊNCIAS BIOLÓGICAS,GEX692,Estágio curricular supervisionado: ciências no ensino fundamental,30819,Ciências Biológicas (Turma B) - 7ª fase (Remoto) -  2021/1,"[{""docente"":""ELIANE GONCALVES DOS SANTOS"",""ch_docente"":105}]",37238dab-9d55-4532-b8f2-7eb8b831c6ca,,,,EM CURSO,2021-08-19
fccc9f91-51e4-435f-a4ab-7b53c935aaee,Chapecó,2021,1,1100,5000385,CIÊNCIA DA COMPUTAÇÃO,GEX657,Trabalho de conclusão de curso I,31513,Ciência da Computação Vespertino - 7ª fase (Remoto) - 2021/1,"[{""docente"":""FERNANDO BEVILACQUA"",""ch_docente"":150}]",dfb59b71-2f08-45b2-9290-5b61714e8ad8,,,,EM CURSO,2021-08-19
985fb5d9-b54a-411c-8f27-2110655a196d,Realeza,2017,2,3530,5000409,MEDICINA VETERINÁRIA,GCA131,Trabalho de conclusão de curso II – defesa,19045,Medicina Veterinária - 10ª Fase - Integral - 2017/2,"[{""docente"":""SUSANA REGINA DE MELLO SCHLEMPER"",""ch_docente"":15},{""docente"":""DENISE MARIA SOUSA DE MELLO"",""ch_docente"":15}]",b109ffbb-d400-49a4-9062-3f5a8c7c7261,,,,CANCELADA,2021-08-19
8b28f3f2-6415-4bfb-bfca-4c20f1093934,Erechim,2011,1,5302,1125800,ENGENHARIA AMBIENTAL E SANITÁRIA,GLA004,Leitura e produção textual II,494,Eng. Ambiental (T1),"[{""docente"":""ATILIO BUTTURI JUNIOR"",""ch_docente"":60}]",3de7abe8-26ce-4ffd-aa6a-3eecb586f3e6,0,100.00,0.00,DESISTENTE,2021-08-19
5cc23838-0ca1-42d4-a198-34fae2771c57,Erechim,2012,2,5302,1125800,ENGENHARIA AMBIENTAL E SANITÁRIA,GEX001,Matemática instrumental,2488,Engenharia Ambiental - 1ª fase - Integral - 2012/2,"[{""docente"":""DENISE KNORST DA SILVA"",""ch_docente"":15}]",995a549a-c3d1-4740-a281-a1155c0dcbc7,0,100.00,0.00,DESISTENTE,2021-08-19
e1294f38-db01-47d5-ba5b-cb0626138961,Laranjeiras do Sul,2012,2,2310,5000391,ENGENHARIA DE ALIMENTOS,GCB030,Microbiologia,2957,Eng. de Alimentos (TB) - 4ª fase - Integral - 2012/2,"[{""docente"":""CARLOS JOSE RAUPP RAMOS"",""ch_docente"":30}]",5694bd3c-7728-43d7-80e9-2a2436e5ae85,,,,DESISTENTE,2021-08-19
8248f1b4-ad0e-4797-90ad-f6bec02078e1,Cerro Largo,2018,1,4500,5000381,AGRONOMIA,GCB162,Fisiologia vegetal,20394,Ciências Biológicas - 5ª fase - Integral - 2018/1,"[{""docente"":""ANDERSON MACHADO DE MELLO"",""ch_docente"":60}]",b25676cc-49ab-4cc3-960a-4158fab6dc18,8,86.67,5.10,REPROVADO POR NOTA,2021-08-19
08d616eb-acca-499f-9a75-89c2fa97760e,Cerro Largo,2018,1,4500,5000381,AGRONOMIA,GCB162,Fisiologia vegetal,20394,Ciências Biológicas - 5ª fase - Integral - 2018/1,"[{""docente"":""ANDERSON MACHADO DE MELLO"",""ch_docente"":60}]",c4a83d4b-eff5-4d76-832b-17b233d63e99,4,93.33,4.30,REPROVADO POR NOTA,2021-08-19
ce1046c8-f615-4f5f-a114-abc685887431,Cerro Largo,2018,1,4500,5000381,AGRONOMIA,GCB162,Fisiologia vegetal,20394,Ciências Biológicas - 5ª fase - Integral - 2018/1,"[{""docente"":""ANDERSON MACHADO DE MELLO"",""ch_docente"":60}]",6dbc46c1-3f4d-4688-b3d2-229053a282f2,10,83.33,4.50,REPROVADO POR NOTA,2021-08-19
737255bf-cdb2-4ada-bb28-606efe008006,Cerro Largo,2018,2,4300,5000389,ENGENHARIA AMBIENTAL E SANITÁRIA,GEN125,Mecânica dos fluidos,21773,Engenharia Ambiental - 6ª a 10ª Fases - Integral - 2018/2,"[{""docente"":""FABIANO CASSOL"",""ch_docente"":60}]",75be2b1f-3fc4-4fa0-9dd2-17b9157fd4d1,,,,CANCELADA,2021-08-19
c01fb4a7-0151-45a0-aff1-5a58bda6b03b,Cerro Largo,2018,2,4300,5000389,ENGENHARIA AMBIENTAL E SANITÁRIA,GEN125,Mecânica dos fluidos,21773,Engenharia Ambiental - 6ª a 10ª Fases - Integral - 2018/2,"[{""docente"":""FABIANO CASSOL"",""ch_docente"":60}]",1aca967f-5072-4cd7-8a6a-7d5d101070f1,,,,CANCELADA,2021-08-19
