_id,processo_seletivo,nome_curso,semestre_oferta,ano_oferta,data_inicio_matriculas,data_fim_matriculas,vagas,data_atualizacao
bb37487d-99e9-4999-a03a-00146c63bd07,EDITAL Nº 105/GR/UFFS/2019 - CONVOCAÇÃO DE SUPLENTE PARA MATRÍCULA NO PROCESSO SELETIVO DE CANDIDATOS ÀS VAGAS PARA O CURSO DE MESTRADO DO PROGRAMA DE PÓS-GRADUAÇÃO EM CIÊNCIA E TECNOLOGIA AMBIENTAL - PPGCTA,Mestrado em Ciência e Tecnologia Ambiental,1,2019,2019-02-13,2019-02-14,20,2021-01-21
d54bee0b-d7db-4530-8fbb-7f11d87553fa,"EDITAL Nº 08, DE 30 DE JULHO DE 2016 - Comissão Acadêmica Nacional do PROFMAT",Mestrado Profissional em Matemática em Rede Nacional,1,2017,2016-11-17,2017-01-20,20,2021-01-21
ec4706de-3c31-4e06-bde6-d497275368aa,EDITAL Nº 094/UFFS/2016 PROCESSO SELETIVO PARA INGRESSO NOS PROGRAMAS DE RESIDÊNCIA MÉDICA,Residência Médica em Nefrologia - Hospital São Vicente de Paulo,1,2016,2016-03-02,2016-03-03,2,2021-01-21
f13178de-7561-4afc-b5ac-ce4b21f3d7d4,EDITAL Nº 748/UFFS/2015 - PROCESSO SELETIVO PARA INGRESSO NOS PROGRAMAS DE RESIDÊNCIA MÉDICA/2016,Residência Médica em Medicina Intensiva Pediátrica - Hospital São Vicente de Paulo,1,2016,2016-02-01,2016-02-05,2,2021-01-21
5b3fe156-a1eb-4197-83e8-a26b9c907c66,Edital de Concurso de Seleção à Residência Médica - 2014 para o Hospital da Cidade de Passo Fundo. Publicado pela COREME em 26 de agosto de 2013.,Residência Médica em Cancerologia Clínica - Hospital da Cidade de Passo Fundo,1,2014,2015-02-23,2015-07-31,1,2021-01-21
60f67980-9558-449e-bfcb-efad3ba1f4c0,Processo Seletivo 2014 Hospital da Cidade de Passo Fundo. Publicado pela COREME em 08 de fevereiro de 2014,Residência Médica em Cirurgia Geral - Hospital da Cidade de Passo Fundo,1,2014,2015-02-23,2015-07-31,3,2021-01-21
153d3523-6b11-4cf1-8b27-4e7e17595559,EDITAL N. 002/2015 - ESPECIAL - HRO,Residência Médica em Clínica Médica - Hospital Regional do Oeste,1,2015,,,2,2021-01-21
f19a1662-d7d0-4585-a502-c1f254d01fb9,PROCESSO SELETIVO PARA MÉDICO RESIDENTE EDITAL Nº RM 01/2015 PARA INGRESSO EM 2016,Residência Médica em Pediatria - Hospital Regional do Oeste,1,2016,,,3,2021-01-21
c2c45d3b-84de-46a6-a236-97d5aa3a70ab,Edital Nº 161/UFFS/2015 - Processo seletivo para ingresso no Programa de Residência Médica,Residência Médica em Obstetrícia e Ginecologia - Hospital São Vicente de Paulo,1,2015,2015-03-27,2015-03-31,3,2021-01-21
fef0ef28-8f58-4d92-9de6-505c51a227e3,EDITAL Nº 797/UFFS/2016 - PROCESSO SELETIVO PARA INGRESSO NOS PROGRAMAS DE RESIDÊNCIA MÉDICA 2017 – PASSO FUNDO,Residência Médica em Geriatria - Hospital São Vicente de Paulo,1,2017,2017-03-01,2017-03-03,2,2021-01-21
3d989df1-12e2-434c-b6b1-0f94836bb009,EDITAL Nº 174/UFFS/2017 - PROCESSO SELETIVO PARA INGRESSO NOS PROGRAMAS DE RESIDÊNCIA MÉDICA/2017,Residência Médica em Clínica Médica - Hospital de Caridade de Carazinho,1,2017,2017-03-30,2017-03-30,2,2021-01-21
a7d82fea-f924-4741-9425-8b8d74521919,EDITAL Nº 174/UFFS/2017 - PROCESSO SELETIVO PARA INGRESSO NOS PROGRAMAS DE RESIDÊNCIA MÉDICA/2017,Residência Médica em Cancerologia Pediátrica - Hospital São Vicente de Paulo,1,2017,2017-03-30,2017-03-30,1,2021-01-21
60f69596-d77e-4620-bda1-f0ab52c3b219,Edital nº 114/UFFS/2012 - Processo Seletivo de Candidatos a vagas para curso de Mestrado do Programa de Pós-Graduação em Estudos Linguísticos - PPGEL,Mestrado em Estudos Linguísticos,2,2012,,,20,2021-01-21
c95d8c1b-a248-42e8-a6ac-b951233efcf6,Edital nº 234/UFFS/2012 - Processo Seletivo para candidatos a vagas para curso de Mestrado do Programa de Pós-Graduação em Estudos Linguísticos - PPGEL,Mestrado em Estudos Linguísticos,1,2013,,,20,2021-01-21
5e1f7b87-1554-4174-9ec3-6992361fc81d,Edital nº 015/UFFS/2013 - Admissão de alunos em disciplina isolada no curso de Mestrado em Estudos Linguísticos,Mestrado em Estudos Linguísticos,1,2013,,,5,2021-01-21
c484f012-ee2d-4810-a683-97acdb5541a9,Edital nº 387/UFFS/2013 - Processo Seletivo de candidatos às vagas para o curso de Mestrado do Programa de Pós-Graduação em Estudos Linguísticos - PPGEL,Mestrado em Estudos Linguísticos,1,2014,,,20,2021-01-21
829c2b54-072f-4ba9-9792-4836c0e8cfe5,Edital nº 083/UFFS/2013 - Processo Seletivo de Candidatos a vagas para curso de mestrado do programa de Pós-Graduação em Educação - PPGE,Mestrado em Educação,2,2013,,,20,2021-01-21
3772ebdc-25bb-46cb-9533-8f7dd2adee06,Edital nº 506/UFFS/2013-Processo Seletivo de candidatos às vagas para o curso de Mestrado do Programa de Pós-Graduação em Ciência e Tecnologia Ambiental.,Mestrado em Ciência e Tecnologia Ambiental,1,2014,,,20,2021-01-21
3db31977-32aa-473d-905b-074eacde4e7e,Edital nº 367/UFFS/2013 - Processo de seleção de candidatos para o curso de Pós-Graduação Lato Sensu em Segurança Alimentar e Nutricional,Especialização em Segurança Alimentar e Nutricional,2,2013,,,40,2021-01-21
8ede00ad-503d-4ef0-b589-cd7ff6076124,Edital Nº 081/UFFS/2011 - Cursos de Pós-Graduação Lato Sensu - Especialização,Especialização em Interdisciplinaridade e Práticas Pedagógicas na Educação Básica,2,2011,2015-06-17,2015-07-31,35,2021-01-21
f5ef4ba2-a2b9-4daf-902e-596e3bf5fe5d,Edital nº 319/UFFS/2012 - Processo seletivo para ingresso no Curso de Pós-Graduação Lato Sensu em Teorias Linguísticas Contemporâneas.,Especialização em Teorias Linguísticas Contemporâneas,1,2013,,,30,2021-01-21
1f6921be-6149-40ef-ab6f-3d40adf22c54,Edital nº 143/UFFS/2012 - Abre inscrições ao processo seletivo para ingresso no curso de Pós-Graduação Lato Sensu em Educação de Tempo Integral,Especialização em Educação de Tempo Integral,2,2012,,,50,2021-01-21
81468fe6-07a2-451c-97a0-2a2c34adf229,Edital nº 190/UFFS/2012 - Abre inscrições ao processo seletivo para ingresso no curso de Pós-Graduação Lato Sensu em Educação Integral,Especialização em Educação Integral,2,2012,,,50,2021-01-21
53922c75-9b36-4411-a7eb-eddb268ac617,Edital Nº 081/UFFS/2011 - Cursos de Pós-Graduação Lato Sensu - Especialização,Especialização em História da Ciência,2,2011,,,30,2021-01-21
675c1e33-d1af-4adf-9c42-8dcf9e4d8202,EDITAL N. 04/2013 - HRO,Residência Médica em Cirurgia Geral - Hospital Regional do Oeste,1,2014,,,2,2021-01-21
5318b5de-f105-4749-8125-ff0263b36d3e,Edital nº 164/UFFS/2011 - Abre inscrições para o curso de Pós-Graduação Lato Sensu em Processos Pedagógicos na Educação Básica,Especialização em Processos Pedagógicos na Educação Básica,1,2012,,,35,2021-01-21
582b002a-8832-4991-b03c-14db0fd618fc,Edital Nº 309/UFFS/2012 - Processo seletivo para ingresso no curso de Pós-graduação Lato Sensu em Epistemologia e Metafísica,Especialização em Epistemologia e Metafísica,1,2013,,,35,2021-01-21
1c82925d-6181-47ac-ac2c-7ae2148bf8da,Edital Nº 018/UFFS/2013 - Processo Seletivo para ingresso no curso de Pós-Graduação Lato Sensu em Ensino de Ciências e Matemática,Especialização em Ensino de Ciências e Matemática,1,2013,,,25,2021-01-21
8c23ec2c-4bfc-47c1-8152-e39082570fcf,Edital Nº 180/UFFS/2012 - Abre inscrições ao processo seletivo para ingresso no curso de Pós-Graduação Lato Sensu em Orientação Educacional.,Especialização em Orientação Educacional,1,2012,,,35,2021-01-21
5ed9df37-ea9f-4428-85d5-1b8160e6e07c,Edital nº 507/UFFS/2013 - Processo seletivo de candidatos às  vagas para o curso de mestrado do Programa de Pós-Graduação em  Agroecologia e Desenvolvimento Rural Sustentável -  PPGADR,Mestrado em Agroecologia e Desenvolvimento Rural Sustentável,1,2014,,,20,2021-01-21
