_id,cod_ccr,nome_ccr,cr_ccr,ch_ccr,desc_matriz,fase_oferta,ccr_obrigatorio,ccr_optativo,nome_campus,cod_uffs,cod_emec,nome_curso,turno,per_ingresso,em_andamento,data_atualizacao
33d94fe5-e018-4074-8309-465b5ee43137,GAC001,Adaptação curricular,1,15,53-CIÊNCIAS BIOLÓGICAS - REALEZA - 2013,0,Não,Sim,Realeza,3201,1152571,CIÊNCIAS BIOLÓGICAS,NOTURNO,Não,Sim,2021-08-19
d772a7e1-4313-440e-95a3-0f33c63ac9c2,GAC002,Adaptação curricular,2,30,52-FÍSICA - REALEZA - 2013,0,Não,Sim,Realeza,3101,1152572,FÍSICA,NOTURNO,Não,Sim,2021-08-19
8b162056-7437-460f-88c5-abbb16548589,GAC003,Adaptação curricular,3,45,52-FÍSICA - REALEZA - 2013,0,Não,Sim,Realeza,3101,1152572,FÍSICA,NOTURNO,Não,Sim,2021-08-19
92ecff2f-6b1f-43a2-bfde-df08fda1540e,GAC008,Adaptação curricular,4,60,71-MEDICINA - CHAPECÓ - 2015,0,Não,Sim,Chapecó,1411,1193759,MEDICINA,INTEGRAL,Sim,Sim,2021-08-19
f2d99e6d-a533-490d-b649-98bd7b1bf6b8,GCA001,Introdução à engenharia de alimentos,3,45,75-ENGENHARIA DE ALIMENTOS - LARANJEIRAS DO SUL - 2016,1,Sim,Não,Laranjeiras do Sul,2310,5000391,ENGENHARIA DE ALIMENTOS,INTEGRAL,Sim,Sim,2021-08-19
381e900d-285a-46a5-a180-872658b43e74,GCA001,Introdução à engenharia de alimentos,3,45,20-ENGENHARIA DE ALIMENTOS - LARANJEIRAS DO SUL - 2010,1,Sim,Não,Laranjeiras do Sul,2310,5000391,ENGENHARIA DE ALIMENTOS,INTEGRAL,Não,Sim,2021-08-19
14580b83-5f4b-4bf3-aa05-6b859e2e07d9,GCA002,Introdução à agronomia,2,30,32-AGRONOMIA - CERRO LARGO - 2010,1,Sim,Não,Cerro Largo,4500,5000381,AGRONOMIA,INTEGRAL,Não,Sim,2021-08-19
3b9c0a0b-b04e-4e8b-988c-de6c24b7abf3,GCA002,Introdução à agronomia,2,30,77-AGRONOMIA - CERRO LARGO - 2017,1,Sim,Não,Cerro Largo,4500,5000381,AGRONOMIA,INTEGRAL,Sim,Sim,2021-08-19
493531f1-67f8-4d2e-99cc-b058492330f7,GCA002,Introdução à agronomia,2,30,5-AGRONOMIA - CHAPECÓ - 2010,1,Sim,Não,Chapecó,1501,1120217,AGRONOMIA,INTEGRAL,Sim,Sim,2021-08-19
75ab07fb-28ee-4f9f-9180-4c4f5073e11f,GCA003,Aquicultura geral I,2,30,22-ENGENHARIA DE AQUICULTURA - LARANJEIRAS DO SUL - 2010,1,Sim,Não,Laranjeiras do Sul,2510,5000392,ENGENHARIA DE AQUICULTURA,INTEGRAL,Sim,Sim,2021-08-19
1ef8e972-2b08-4ad5-aa36-b9ada33b5a33,GCA003,Aquicultura geral I,2,30,80-AGRONOMIA - LARANJEIRAS DO SUL - 2017,0,Não,Sim,Laranjeiras do Sul,2503,5000383,AGRONOMIA,INTEGRAL,Sim,Sim,2021-08-19
cbb46dc8-9958-4865-994c-c958b875f6e9,GCA004,Aquicultura geral II,2,30,80-AGRONOMIA - LARANJEIRAS DO SUL - 2017,0,Não,Sim,Laranjeiras do Sul,2503,5000383,AGRONOMIA,INTEGRAL,Sim,Sim,2021-08-19
94a85437-a766-40e7-949b-d375cf7271d4,GCA004,Aquicultura geral II,2,30,22-ENGENHARIA DE AQUICULTURA - LARANJEIRAS DO SUL - 2010,2,Sim,Não,Laranjeiras do Sul,2510,5000392,ENGENHARIA DE AQUICULTURA,INTEGRAL,Sim,Sim,2021-08-19
7c13125b-a4cb-4359-9ed0-aa5a91e73d48,GCA005,Agroecossistemas I,2,30,46-CIÊNCIAS ECONÔMICAS - LARANJEIRAS DO SUL - 2012,0,Não,Sim,Laranjeiras do Sul,2601,5000387,CIÊNCIAS ECONÔMICAS,NOTURNO,Não,Sim,2021-08-19
29464f06-9cc6-4edf-9ceb-acd257e4fdd8,GCA005,Agroecossistemas I,2,30,33-DESENVOLVIMENTO RURAL E GESTÃO AGROINDUSTRIAL - CERRO LARGO - 2010/1,2,Sim,Não,Cerro Largo,4520,5000386,DESENVOLVIMENTO RURAL E GESTÃO AGROINDUSTRIAL,INTEGRAL,Não,Não,2021-08-19
075015ce-cd3d-496f-a4d5-c2e499de1a5e,GCA005,Agroecossistemas I,2,30,47-ADMINISTRAÇÃO - CERRO LARGO - 2012,0,Não,Sim,Cerro Largo,4601,5000386,ADMINISTRAÇÃO,MATUTINO,Não,Sim,2021-08-19
fd356f19-d966-45df-98a5-84e2e9bbd83d,GCA005,Agroecossistemas I,2,30,23-DESENVOLVIMENTO RURAL E GESTÃO AGROINDUSTRIAL - LARANJEIRAS DO SUL - 2010/1,3,Sim,Não,Laranjeiras do Sul,2521,5000387,DESENVOLVIMENTO RURAL E GESTÃO AGROINDUSTRIAL,INTEGRAL,Não,Não,2021-08-19
19d3a8c1-ebe2-4d62-8d2e-29dc31a78855,GCA006,Introdução à medicina veterinária,2,30,28-MEDICINA VETERINÁRIA - REALEZA - 2010,1,Sim,Não,Realeza,3530,5000409,MEDICINA VETERINÁRIA,INTEGRAL,Sim,Sim,2021-08-19
5611a350-3937-4068-839a-f8f84ae74e5c,GCA007,Introdução à produção animal,2,30,28-MEDICINA VETERINÁRIA - REALEZA - 2010,2,Sim,Não,Realeza,3530,5000409,MEDICINA VETERINÁRIA,INTEGRAL,Sim,Sim,2021-08-19
51ac30e2-63e2-4a4e-bce8-7b2b1f902810,GCA010,Agroecossistemas II,4,60,23-DESENVOLVIMENTO RURAL E GESTÃO AGROINDUSTRIAL - LARANJEIRAS DO SUL - 2010/1,3,Sim,Não,Laranjeiras do Sul,2521,5000387,DESENVOLVIMENTO RURAL E GESTÃO AGROINDUSTRIAL,INTEGRAL,Não,Não,2021-08-19
ad6df528-bf65-47fa-bf9e-e5f48bad481f,GCA010,Agroecossistemas II,4,60,33-DESENVOLVIMENTO RURAL E GESTÃO AGROINDUSTRIAL - CERRO LARGO - 2010/1,3,Sim,Não,Cerro Largo,4520,5000386,DESENVOLVIMENTO RURAL E GESTÃO AGROINDUSTRIAL,INTEGRAL,Não,Não,2021-08-19
86b00a5c-93ea-4c99-8673-142d7231be46,GCA011,Processamento de alimentos de origem vegetal,4,60,20-ENGENHARIA DE ALIMENTOS - LARANJEIRAS DO SUL - 2010,7,Sim,Não,Laranjeiras do Sul,2310,5000391,ENGENHARIA DE ALIMENTOS,INTEGRAL,Não,Sim,2021-08-19
ed3f8074-b47c-43d3-9a9e-622e6d3a3f9e,GCA012,Análise de alimentos,4,60,20-ENGENHARIA DE ALIMENTOS - LARANJEIRAS DO SUL - 2010,7,Sim,Não,Laranjeiras do Sul,2310,5000391,ENGENHARIA DE ALIMENTOS,INTEGRAL,Não,Sim,2021-08-19
0e614091-abf3-4610-90bc-d767bc5458c0,GCA013,Bioquímica de alimentos,6,90,20-ENGENHARIA DE ALIMENTOS - LARANJEIRAS DO SUL - 2010,6,Sim,Não,Laranjeiras do Sul,2310,5000391,ENGENHARIA DE ALIMENTOS,INTEGRAL,Não,Sim,2021-08-19
3213ff39-be56-4d61-8d8c-509dbf0e03d5,GCA014,Processamento de alimentos de origem animal,4,60,20-ENGENHARIA DE ALIMENTOS - LARANJEIRAS DO SUL - 2010,8,Sim,Não,Laranjeiras do Sul,2310,5000391,ENGENHARIA DE ALIMENTOS,INTEGRAL,Não,Sim,2021-08-19
