_id,nome_campus,ano,semestre,cod_ccr,nome_ccr,cr_ccr,ch_ccr,id_turma,desc_turma,tem_turma,cod_uffs_curso_turma,curso_turma,fase_turma,lista_docentes_ch,ch_teorica,ch_pratica,vagas_turma,qtd_inscritos,qtd_concluiram,sit_turma,data_atualizacao
04bad9e6-5b64-4798-bdd1-0c09d84f60f0,Erechim,2015,2,GCH028,Filosofia da educação,4,60,12492,Pedagogia - 6ª fase - Noturno - 2015/2,,5732,PEDAGOGIA,6,"[{""docente"":""ILTON BENONI DA SILVA"",""ch_docente"":60}]",0,0,50,34,31,Encerrada,2021-08-19
1ed5c030-f5c6-489d-ae7a-83429fd7ac6a,Erechim,2015,2,GLA013,Ensino de artes: conteúdo e metodologia,4,60,12503,Pedagogia - 10ª fase - Noturno - 2015/2,,5732,PEDAGOGIA,10,"[{""docente"":""LUIZ FELIPE LEÃO MAIA BRANDÃO"",""ch_docente"":60}]",0,0,50,27,27,Encerrada,2021-08-19
582eafa2-5ecc-40f4-b517-2e957d21c56f,Erechim,2015,2,GLA109,Língua brasileira de sinais (Libras),4,60,12511,História (Iterra) - 5ª Fase - Integral - 2015/2,,5723,HISTÓRIA,5,"[{""docente"":""SONIZE LEPKE"",""ch_docente"":60}]",0,0,47,47,46,Encerrada,2021-08-19
6e3f45bf-a699-42bd-bf7f-53d8c43dc246,Erechim,2015,2,GCH348,Teoria e metodologia da história III,4,60,12514,História (Iterra) - 5ª Fase - Integral - 2015/2,,5723,HISTÓRIA,5,"[{""docente"":""MIGUEL ENRIQUE ALMEIDA STÉDILE"",""ch_docente"":60}]",0,0,47,46,46,Encerrada,2021-08-19
29febc7e-8887-47d4-b079-930cd9f5ff84,Chapecó,2019,2,GEX080,Geodésia e sensoriamento remoto,4,60,25718,Agronomia - 6ª Fase - Integral - 2019/2,,1501,AGRONOMIA,6,"[{""docente"":""DEISE REGINA LAZZAROTTO"",""ch_docente"":60}]",0,0,50,31,28,Encerrada,2021-08-19
95d30416-4bd8-4ef8-89a5-a045a6035edc,Laranjeiras do Sul,2013,2,GCS126,Macroeconomia I,4,60,5103,Ciências Econômicas - 4ª Fase - Integral - 2013/2,,2601,CIÊNCIAS ECONÔMICAS,4,"[{""docente"":""LUIS CLAUDIO KRAJEVSKI"",""ch_docente"":60}]",0,0,58,36,36,Encerrada,2021-08-19
12e7f117-0718-48ad-811c-9fba55069e84,Erechim,2013,2,GCA222,Avicultura,2,30,5107,Agronomia - 6ª Fase - Integral - 2013/2,,5502,AGRONOMIA,6,"[{""docente"":""DIEGO AZEVEDO MOTA"",""ch_docente"":30}]",0,0,50,24,24,Encerrada,2021-08-19
a06d2c89-b5a7-445a-8028-0ccade9d173f,Erechim,2013,2,GEX080,Geodésia e sensoriamento remoto,4,60,5108,Agronomia - 6ª Fase - Integral - 2013/2,,5502,AGRONOMIA,6,"[{""docente"":""EVERTON DE MORAES KOZENIESKI"",""ch_docente"":45},{""docente"":""GISMAEL FRANCISCO PERIN"",""ch_docente"":15}]",0,0,50,39,38,Encerrada,2021-08-19
798df0d9-4b3f-47dc-b8e8-cafd0288bd51,Erechim,2015,2,GCS010,Direitos e cidadania,4,60,12504,Pedagogia - 10ª fase - Noturno - 2015/2,,5732,PEDAGOGIA,10,"[{""docente"":""ISIS OLIVEIRA BASTOS MATOS"",""ch_docente"":60}]",0,0,55,52,47,Encerrada,2021-08-19
b3bb444f-9e42-4493-8f22-f0bf79c0fa76,Chapecó,2015,2,GEX007,Química geral,4,60,12508,Agronomia - 2ª Fase - Integral - 2015/2,,1501,AGRONOMIA,2,"[{""docente"":""ARLINDO CRISTIANO FELIPPE"",""ch_docente"":60}]",0,0,40,40,37,Encerrada,2021-08-19
