_id,projeto_registro,projeto_titulo,coordenador,nome_campus,desc_area_cnpq,palavras_chave,resumo,modalidade,grupos_pesquisa,projeto_pai_registro,data_atualizacao
37429bb5-9bbf-43db-b277-de98897ca894,PES-2021-0080,"Saneamento ambiental e básico: processos e sistemas de potabilização de água, tratamento de efluentes e gestão integrada de resíduos sólidos.",ALCIONE APARECIDA DE ALMEIDA ALVES,Cerro Largo,ENGENHARIAS,Eletrocoagulação; Potabilização de água; Reator de leito fixo; Resíduos Sólidos; Tratamento de efluentes,"Dentre as temáticas vinculadas ao saneamento ambiental e básico, destacam-se para atender às necessidades coletivas o abastecimento e a potabilização de água, o tratamento de efluentes, a limpeza urbana e o manejo de resíduos sólidos, representando ações fundamentais para a proteção da saúde humana e do meio ambiente.  Desta forma, este projeto de pesquisa possui como principais objetivos: (i) Analisar a performance de um reator de leito fixo (RLF) na potabilização de água de consumo humano com uso de delineamento estatístico para diferentes configurações do RLF; (ii) Investigar a eficiência de um reator de eletrocoagulação no tratamento de águas residuais, com emprego do Delineamento Composto Central Rotacional (DCCR) e; (iii) Avaliar o gerenciamento e a gestão integrada de resíduos sólidos urbanos nos municípios da Região das Missões – Rio Grande do Sul (RS). Deste modo, espera-se contribuir no tocante ao saneamento ambiental e básico, por meio do desenvolvimento e aplicação de processos e tecnologias sustentáveis, bem como no gerenciamento e gestão integrada de resíduos sólidos.",Guarda-chuva: Projeto Interno,Grupo de Pesquisa em Recursos Energéticos e Tecnologias Limpas - RETEC,,2022-01-20
a0a7ffd1-c445-40b7-8fa5-206bd9d308df,PES-2021-0157,"Avaliação da tolerância, distribuição e acumulo de cobre em Tridax procumbens L. (Asteraceae)",MARLEI VEIGA DOS SANTOS ; NESSANA DARTORA,Cerro Largo,OUTROS,CONTAMINAÇÃO DO SOLO; FITORREMEDIAÇÃO; METAL; PES-2020-0440,PES- 2020-0440,Subprojeto,"Núcleo de Síntese, Aplicação e Análise de Compostos Orgânicos e Inorgânicos - NUSAACOI",PES-2019-0028,2022-01-20
76a5eeed-d0e0-4000-9add-6b4676dae0d5,PES-2021-0031,INOVA-LETRAS: TECNOLOGIAS DIGITAIS E ENSINO DE LÍNGUAS,MARCUS VINICIUS LIESSEM FONTANA,Cerro Largo,"LINGUÍSTICA, LETRAS E ARTES",Ensino de línguas; Práticas inovadoras; Tecnologias digitais,"O projeto INOVA-LETRAS: TECNOLOGIAS DIGITAIS E ENSINO DE LÍNGUAS tem por objetivo identificar, analisar e propor práticas inovadoras para o ensino de línguas, sobretudo de língua espanhola, envolvendo o uso de tecnologias digitais. Partindo da perspectiva de que nossa sociedade está imersa nessas tecnologias e é delas dependente (CASTELLS, 2003; LÉVY, 2007; 2010), questiona-se se a escola e a universidade estão preparadas para esse desafio. Ao lançar mão dos princípios do Pensamento Complexo (MORIN, 2007; 2011) e da bricolagem (KINCHELOE e BERRY, 2007), pretende-se desenvolver a pesquisa ao longo de um ciclo de dois anos, com especial atenção à bibliografia disponível e aos recursos tecnológicos à disposição. Pesquisas anteriores servirão de base para a experimentação de ferramentas e para o desenvolvimento de relatórios tendentes à melhoria das práticas mediadas por tecnologias no que tange ao ensino de línguas.
",Guarda-chuva: Projeto Interno,"POLIFONIA - Grupo de Pesquisas em Políticas Linguísticas, Formação Docente e Novas Tecnologias para o Ensino de Línguas",,2022-01-20
140877d7-23f1-41af-b19b-9d68fd574fc1,PES-2020-0504,EDUCAÇÃO E ESCOLAS DO CAMPO EM TEMPOS DE PANDEMIA DA COVID-19,ROBERTO ANTONIO FINATTO,Laranjeiras do Sul,CIÊNCIAS HUMANAS,Ciências Humanas e Sociais; Educação; Escola do Campo; Pandemia de Covid-19,"O mundo enfrenta na atualidade o cenário de uma pandemia (COVID-19) que implica em uma série de impactos econômicos, sociais e educacionais. Pesquisadores e pesquisadoras do mundo todo estão desenvolvendo investigações com vistas a buscar saídas e alternativas para o enfrentamento dessa realidade. A educação, enquanto direito universalizado, somente há pouco mais de 20 anos teve a sua existência reconhecida e a sua prática legitimada e apoiada para o campo brasileiro. Todavia, os decretos estaduais e municipais de suspensão das aulas presenciais nas redes pública e privada, em todos os níveis de ensino; bem como a Medida Provisória no 934 de 01/04/2020 estabelecem a  excepcionalidade nas normas sobre o ano letivo da Educação Básica e do Ensino Superior. Neste contexto, as Ciências Humanas e Sociais são mobilizadas a contribuir na análise dos impactos sociais do COVID-19, refletindo sobre como o vírus e o consequente enfrentamento à doença por meio do isolamento, entre outras estratégias, afeta a organização social em diferentes comunidades. Os  grupos de pesquisa proponentes dessa investigação, oriundos de diferentes universidades, formam a Rede Latino-Americana de Estudos e Pesquisas Marxistas em Educação do Campo.  Com esta pesquisa coletiva, interinstitucional e articulada, propõe-se analisar as condições objetivas da educação e das escolas nas comunidades do campo, das águas e das florestas e suas consequências em tempos de pandemia de COVID-19, por meio de levantamento bibliográfico, geração de dados pela aplicação de questionário online e, posteriormente, de realização de entrevistas, principalmente com estudantes e egressos das Licenciaturas em Educação do Campo, da Pedagogia Indígena, das Pedagogias para educadores do campo, bem como outros sujeitos da Educação Básica. Os objetivos específicos são: investigar como as comunidades do campo, das águas e das florestas estão sendo afetadas pela pandemia COVID-19, identificando suas principais dificuldades e suas perspectivas de enfrentamento; elencar os principais desafios enfrentados por esses sujeitos em relação ao acesso à educação nos diferentes níveis de ensino, bem como as consequências e as  possíveis alternativas para sua superação; por fim, relacionar aspectos da situação conjuntural de pandemia com questões estruturais e históricas das condições de vida e educação dos povos do campo, das águas e das florestas no Brasil. Um levantamento inicial demonstra que as propostas educativas atuais revelam algumas (entre tantas) desigualdades presentes na sociedade, sobretudo no que tange ao acesso às tecnologias e recursos digitais, à possibilidade (ou não) de desenvolvimento de trabalho remoto pelas famílias e ao desenvolvimento de atividades escolares de forma não presencial. Deste modo, esta pesquisa tem o horizonte de contribuir para qualificar as propostas de enfrentamento à pandemia, sobretudo no que diz respeito ao acesso à escolarização pelos povos do campo, das águas e das florestas.",Guarda-chuva: Projeto Interno,"Grupo de Pesquisa em Educação do Campo, Cooperação e Agroecologia  (GECCA) ",,2022-01-20
8b88befe-1522-4791-9a25-8aa0f81db60b,PES-2018-0022,Uso de peixes como bioindicadores da qualidade ambiental na Bacia do Médio Rio Uruguai.,SUZYMEIRE BARONI,Cerro Largo,CIÊNCIAS BIOLÓGICAS,defensivos agrícolas; genotoxicidade; histologia; micronúcleos; toxicidade,"Quando peixes e outros organismos são expostos a ambientes degradados os efeitos podem ser devastadores. Longos períodos de exposição a xenobióticos podem resultar em prejuízo ao longo do tempo, bem como possível estabelecimento de mutações que se fixam na população. A Bacia do Médio Uruguai compreende rios de importância econômica em função das atividades agroindustriais desenvolvidas e pelo seu potencial hidrelétrico, tais como Rio Turvo, Rio Ijui, Rio Comandaí, Rio Icamacuã, além dos lagos formados pelas hidrelétricas. Apesar desses rios contribuirem para o desenvolvimento econômico da região, as atividades realizadas nesta bacia hidrográfica acabam agravando a contaminação das suas águas. A região noroeste do Rio Grande do Sul possui uma área agrícola importante onde há uso constante de defensivos para as mais diversas lavouras. A Universidade Federal Fronteira Sul - Campus Cerro Largo, está inserida dentro desse contexto e isso implica em ações constantes de monitoramento quanto ao impacto desses defensivos na vida dos organismos dentro desses ecossistemas, desde o homem, animais de grande e pequeno porte, insetos, microrganismos e plantas não-alvo dos defensivos. O teste de micronúcleo (MN) e alterações nucleares, decorrentes de mitoses alteradas por fatores externos, tem sido um protocolo já utilizado com segurança para determinar danos genotóxicos em eucariotos, além de avaliação histopatológica em tecido hepático e brânquias de peixes. O  trabalho propõe avaliar a presença de efeitos genotóxicos através do teste de MN e alterações citológicas em eritrócitos de peixes e análise histológica de fígado e brânquias de peixes presentes na Bacia do Médio Rio Uruguai. O projeto também será composto por ensaios de laboratório para avaliar danos genotóxicos de xenobióticos em peixes submetidos a tratamento agudo e crônico. O projeto terá duração de cinco anos e será composto por sub-projetos de Iniciação Científica e Dissertação de Mestrado. Antes do início das análises o mesmo será submetido ao CEUA/UFFS para validação. Os rios e pontos de coletas serão previamente estabelecidos obedecendo os objetivos de cada trabalho. Os sub-projetos serão determinados pelo estudo prévio de viabilização e logística ao longo dos 5 anos. O teste de MN obedecerá protocolo proposto por Schmid (1975). A análise dos cortes histológicos serão analisados qualitativamente obedecendo variáveis já descritas na literatura. Os resultados serão analisados em teste estatístico Kruskal–Wallis (H)  com nível de confiança de 0,05%, e as lâminas fotografadas em câmeras de captura de imagem para análise qualitativa.",Guarda-chuva: Projeto Interno,Biociencias,,2022-01-20
433aa0c4-9ce4-4390-9028-2acac9ec316e,PES-2019-0529,VIABILIDADE DO SÊMEN CRIOPRESERVADO EM DIFERENTES MEIOS E SUBSTÃNCIAS ADITIVAS,ADALGIZA PINTO NETO,Realeza,CIÊNCIAS AGRÁRIAS,antioxidantes; espermatozóides; fertilização; viabilidade espermática,"A criopreservação de sêmen é uma tecnologia de grande impacto na reprodução animal, tanto em espécies de interesse produtivo, visando retorno econômico, quanto de espécies exóticas e/ou selvagens, visando preservação da espécie. Essa biotecnologia vem se destacando diante das vantagens que apresenta, sendo uma importante ferramenta para o melhoramento genético de espécies animais, permitindo facilmente a comercialização e transporte do sêmen, controle de doenças sexualmente transmissíveis e, principalmente, o expressivo ganho genético. Diferentes meios e aditivos são utilizados na criopreservação do sêmen das diferentes espécies, buscando conferir maior crioresistência aos espermatozoides durante o processo de congelação/descongelação. Apesar de inúmeras pesquisas, o processo de criopreservação do sêmen compromete, aproximadamente 50% das células espermáticas, que se tornam inviáveis para a fertilização. Apesar dos grandes avanços obtidos desde a descoberta do glicerol, justifica-se a realização de estudos sobre crioprotetores, e demais aditivos, como substãncias antioxidantes, a fim de melhorar a viabilidade espermática após o processo de congelação/descongelação do sêmen de todas as espécies domésticas. O melhor desempenho do sêmen criopreservado levaria ao aumento do rendimento de doses por ejaculado e incremento nas taxas de gestação. Até o momento não existe um protocolo definido sobre a melhor substância, e/ou suas concentrações, que ao ser adicionada ao meio de congelação levasse ao melhor desempenho in vitro e/ou in vivo da célula espermática. Dessa forma, objetiva-se com esse projeto desenvolver estudos sobre a utilização de substâncias que ao serem adicionadas ao sêmen dos animais domésticos melhorem a viabilidade da célula espermática, reduzam os danos do processo de congelação/descongelação, e incrementem a taxa de gestação. Para tanto, animais domésticos (como cães, bovinos, pequenos ruminantes, suínos e/ou equinos), hígidos, de propriedades rurais do entorno de Realeza serão submetidos a avaliação andrológica e coleta de sêmen (CBRA, 2013), no Laboratório de Reprodução Animal, do SUHVU, Campus Realeza-UFFS. O sêmen coletado será avaliado, submetido a diferentes métodos e meios de congelação, criopreservado e armazenado em botijão de nitrogênio líquido, e quando descongelado submetido a avaliação in vitro (características espermáticas e/ou taxa de fertilização in vitro) e/ou in vivo (taxa de gestação). Desse modo, espera-se melhorar a viabilidade do sêmen criopreservado dos animais domésticos; contribuir para o aumento do potencial reprodutivo das fêmeas das espécies estudadas e contribuir para o incremento da produção animal, com a utilização do sêmen cripreservado de espécies produtivas.",Guarda-chuva: Projeto Interno,"Saúde, Produção e Reprodução Animal - GPqPRA",,2022-01-20
9f225bee-1367-4107-a38d-04156937a75a,PES-2021-0478,Avaliação de fitopatógenos em sistema de produção de grãos e hortaliças,GILMAR FRANZENER,Laranjeiras do Sul,CIÊNCIAS AGRÁRIAS,Fitonematoides; fitossanidade; manejo ecológico; rotação de culturas.,"A utilização de rotação de culturas e adubação verde tem sido muito recomendada por seus efeitos benéficos em agroecossistemas, principalmente no aspecto fitossanitário, podendo representar estratégias para o manejo de doenças de plantas. Como parte de um estudo multidisciplinar e de longo prazo, este trabalho tem por objetivo avaliar a incidência e severidade de doenças de parte aérea e radicular em sistema de produção integrado de grãos e hortaliças em plantio direto orgânico. As plantas de adubação verde serão cultivadas a campo, sendo sucedidas pela semeadura do consórcio milho e feijão na primeira e beterraba e rúcula na segunda safra de primavera/verão. Serão avaliadas cinco densidades de semeadura do consórcio aveia-preta (Avena strigosa Schieb), ervilhaca-peluda (Vicia villosa L.) e nabo-forrageiro (Raphanus sativus L.) (0, 40, 80, 100, 120 e 160% da dose recomendada). Durante o ciclo das culturas serão realizadas avaliações periódicas da incidência e severidade de doenças na parte aérea das plantas. Por ocasião da semeadura e da colheita de cada cultura também serão coletadas amostras compostas de solo e raízes de cada unidade experimental para análise de nematoides de solo. Ao final do ciclo de cada cultura também serão avaliados aspectos produtivos. Será realizada a identificação e quantificação de nematoides, bem como a determinação da densidade e de índices de diversidade. Os dados serão submetidos a análise de variância e quando aplicável análise de regressão para ajuste em modelos que representem os fenômenos observados. Espera-se que a adubação verde contribua para redução da incidência e severidade de doenças nos cultivos, bem como favoreça a ocorrência de microrganismos benéficos.",Subprojeto,PIF: Pesquisa Integrada em Fitossanidade,PES-2021-0051,2022-01-20
3ecd945d-2b4f-4f91-b0ff-508b087a80c3,PES-2019-0321,Caracterização Farmacológica e Neuroprotetora de Constituintes Fitoquímicos Avaliados In vitro e em Protocolos Animais de Transtorno Depressivo Maior,ZULEIDE MARIA IGNACIO,Chapecó,CIÊNCIAS DA SAÚDE,Isolamento social; Neuroproteção; Plantas medicinais; Privação maternal; Transtorno depressivo maior,"Um número expressivo de estudos vem mostrando que o estresse crônico na infância é um dos maiores vilões na indução de disfunções biológicas neurais e sistêmicas, as quais podem persistir e potencializar os efeitos do estresse crônico e agudo na vida adulta, culminando em transtorno depressivo maior (TDM), entre outros transtornos psiquiátricos. As pesquisas científicas trazem evidências de que o estresse na infância é responsável por prejuízos no desenvolvimento cerebral e é potencializado por estresse ou falta de apoio social na vida adulta, podendo culminar em depressão severa e falta de resposta terapêutica aos tratamentos antidepressivos. Os fármacos disponíveis na clínica, além de necessitarem de um longo tempo para o início do efeito antidepressivo, não conseguem exercer efeito terapêutico em um percentual significativo de pacientes. Por essas razões, a busca por agentes mais efetivos para o TDM vem incluindo as plantas medicinais como estratégias terapêuticas que possam interferir em mecanismos biológicos relevantes na depressão resistente a tratamentos (DRT). Portanto, o principal objetivo desta proposta é avaliar o tratamento com extratos e compostos ativos de espécies de plantas medicinais em comportamentos tipo depressivos de ratos submetidos a estresse crônico na infância e na vida adulta e em mecanismos envolvidos na neuroproteção, nos animais e in vitro, em células de neuroblastoma. Inicialmente o estudo irá investigar separadamente o efeito da privação materna nos primeiros dias de vida e o efeito do isolamento social sobre os comportamentos e mecanismos biológicos envolvidos com alterações na plasticidade neuronal, bem como o efeito dos tratamentos nas alterações comportamentais e biológicas. Posteriormente, será investigado um possível sinergismo entre o estresse de privação maternal e o isolamento social assim como o efeito dos tratamentos sobre alterações comportamentais e biológicas que emergirem a partir do estresse ao longo da vida dos animais. As plantas medicinais utilizadas nesta proposta serão das espécies Campomanesia guazumifolia, Cecropia pachystachya, Physalis peruviana e Solidago chilensis. São espécies que apresentam propriedades antioxidantes e antiinflamatórias, entre outras relevantes propriedades nutracêuticas. Algumas espécies já foram caracterizadas como agentes antidepressivos na população e em estudos científicos, principalmente em modelos animais. Também já existem evidências científicas sobre a interferência de compostos dessas espécies medicinais em alguns mecanismos neurobiológicos subjacentes à plasticidade neuronal e à neuroproteção. Considerando alguns resultados da literatura científica, espera-se que o sinergismo entre o estresse na infância e na vida adulta possa potencializar o comportamento depressivo e os prejuízos biológicos relacionados à neuroproteção. Com relação às propriedades já descritas para as espécies de plantas medicinais, é esperado que os extratos e alguns componentes ativos das ",Guarda-chuva: Projeto em Acordo de Cooperação,Estudos Biológicos e Clínicos em Patologias Humanas,,2022-01-20
3f4a0c54-393e-497c-b857-d4fe56dade4d,PES-2019-0548,Adubos orgânicos e concentrações de nitrogênio sobre caracteristícas agrônomicas e físico-químicas de tubérculos de batata  em cultivo orgânico.,CLAUDIA SIMONE MADRUGA LIMA,Laranjeiras do Sul,CIÊNCIAS AGRÁRIAS,amido; Cama de aviário; húmus; Solanum tuberosum spp. tuberosum,"A cultura da batata (Solanum tuberosum L.) apresenta hoje importância mundial, econômica e socialmente, sendo um dos alimentos mais produzidos e consumidos. No entanto, para atender um mercado consumidor altamente demandante altas produtividades são esperadas, para tal são usadas grandes quantidades de adubos sintéticos altamente solúveis, que além do impacto ambiental podem representar riscos residuais no produto consumido, os tubérculos. A busca por alternativas de adubação, principalmente quanto ao nitrogênio, visa atender a uma crescente preocupação com a qualidade dos produtos ofertados, aliando melhorias das condições de produção, para o produtor e para o ambiente, com efeitos protetivos sobre a cultura da batata. Fontes orgânicas animais de adubos nitrogenados são uma opção para a produção orgânica, no entanto devido suas características altamente variáveis a determinação de doses de utilização ainda é grandemente debatida. Efeitos protetivos sobre a cultura também foram verificados, o que acarreta numa menor incidência de doenças. Desta forma, o objetivo deste projeto é verificar a influência de diferentes adubos orgânicos (cama de aviário curtida e extrusada e húmus) e doses de nitrogênio (120, 140, 160, 180 e 200 kg N ha-1) no cultivo orgânico de batata, cv. Catucha, e as características físico-químicas dos tubérculos. O projeto será desenvolvido na área experimental da Universidade Federal da Fronteira Sul, horta experimental. Serão realizadas cultivos à campo em duas safras (2019 e 2020), com sistema de produção orgânico. As fontes de nitrogênio e as doses comporão os tratamentos, sendo utilizado adubo químico sintético na forma NPK (04-14-08), 160 kg N ha-1, como testemunha, totalizando 16 tratamentos, com 4 repetições. Serão realizadas avaliações de emergência (%); parâmetros morfológicas, aos 30 e 45 DAE, avaliando-se altura de planta, número de nós por planta, número de hastes primárias, índice de área foliar, número de tubérculos iniciados, número de tubérculos formados, massa fresca e seca da parte área e massa fresca de tubérculos; incidência de doenças (requeima) e de produtividade. Antes do plantio e aos 60 DAE serão realizadas avaliações de resistência do solo a penetração e coletadas amostras indeformadas em todas as parcelas para determinação da densidade aparente do solo, densidade de partículas, porosidade total, microporosidade, macroporosidade. As avaliações físico-químicas dos tubérculos serão compostas por sólidos solúveis, matéria seca, cinzas, acidez titulável, pH, teor de proteínas e de amido. Espera-se como resultados estimar a melhor dose de cada fonte de adubo orgânico nitrogenado para produção de batata orgânica; averiguar os efeitos nas características físicas do solo sob diferentes fontes e doses de nitrogênio; e avaliar o impacto das fontes e doses de nitrogênio nos parâmetros físico-químicos do tubérculo.",Guarda-chuva: Projeto Interno,PIF: Pesquisa Integrada em Fitossanidade,,2022-01-20
16538ca9-9331-4bf7-9732-43d0c36b0081,PES-2020-0289,Investigação de compostos bioativos presentes na amora negra,RICARDO KEY YAMAZAKI,Laranjeiras do Sul,CIÊNCIAS AGRÁRIAS,alimento funcional; biodisponibilidade; Morus nigra,"Os alimentos funcionais são usados em uma dieta normal que demonstra benefícios fisiológicos ou que reduzem o desenvolvimento de doenças crônicas. O Brasil possui extenso território geográfico com condições climáticas que favorecem a presença de inúmeras frutas nativas com potencial agro-industrial e pouco exploradas pelos agricultores locais. A amora negra, embora não seja uma planta nativa, tornou-se muito comum em fundos de quintal e pequenas propriedades rurais. Deste modo, estudos em produtos regionais ricos em compostos bioativos podem contribuir na promoção da saúde humana e no desenvolvimento regional. Uma das formas atuais de promover o desenvolvimento sustentável tem sido estudos da biodiversidade agrícola, os quais possibilitam explorar o potencial de plantas nativas e que até o momento foram negligenciadas e/ou subtilizadas. Sob um segundo ponto de vista, estes estudos também contribuem para a valorização da cultura local e da identidade territorial. No entanto, estudos científicos são essenciais para elucidar a real eficácia, biodisponibilidade e segurança destes compostos bioativos. A investigação do potencial benéfico da amora negra contribui para a valorização do território, da cultura local e o desenvolvimento de novos produtos com propriedades benéficas para o ser humano.",Subprojeto,Biociência de Alimentos,PES-2018-0388,2022-01-20
